HISTOGRAMA DE IMAGEN
====================

Total de pixeles: 262144

HISTOGRAMA CANAL RED (R)
------------------------
Valor   0: 172172 pixeles
Valor   1: 944 pixeles
Valor   2: 595 pixeles
Valor   3: 545 pixeles
Valor   4: 415 pixeles
Valor   5: 364 pixeles
Valor   6: 311 pixeles
Valor   7: 248 pixeles
Valor   8: 268 pixeles
Valor   9: 264 pixeles
Valor  10: 237 pixeles
Valor  11: 241 pixeles
Valor  12: 206 pixeles
Valor  13: 222 pixeles
Valor  14: 178 pixeles
Valor  15: 179 pixeles
Valor  16: 160 pixeles
Valor  17: 152 pixeles
Valor  18: 153 pixeles
Valor  19: 160 pixeles
Valor  20: 170 pixeles
Valor  21: 129 pixeles
Valor  22: 138 pixeles
Valor  23: 108 pixeles
Valor  24: 102 pixeles
Valor  25: 110 pixeles
Valor  26: 128 pixeles
Valor  27: 97 pixeles
Valor  28: 97 pixeles
Valor  29: 85 pixeles
Valor  30: 94 pixeles
Valor  31: 97 pixeles
Valor  32: 106 pixeles
Valor  33: 100 pixeles
Valor  34: 94 pixeles
Valor  35: 101 pixeles
Valor  36: 82 pixeles
Valor  37: 92 pixeles
Valor  38: 99 pixeles
Valor  39: 86 pixeles
Valor  40: 93 pixeles
Valor  41: 96 pixeles
Valor  42: 104 pixeles
Valor  43: 102 pixeles
Valor  44: 123 pixeles
Valor  45: 99 pixeles
Valor  46: 130 pixeles
Valor  47: 112 pixeles
Valor  48: 135 pixeles
Valor  49: 119 pixeles
Valor  50: 116 pixeles
Valor  51: 140 pixeles
Valor  52: 142 pixeles
Valor  53: 146 pixeles
Valor  54: 136 pixeles
Valor  55: 145 pixeles
Valor  56: 150 pixeles
Valor  57: 123 pixeles
Valor  58: 122 pixeles
Valor  59: 116 pixeles
Valor  60: 104 pixeles
Valor  61: 141 pixeles
Valor  62: 101 pixeles
Valor  63: 129 pixeles
Valor  64: 100 pixeles
Valor  65: 130 pixeles
Valor  66: 114 pixeles
Valor  67: 122 pixeles
Valor  68: 148 pixeles
Valor  69: 117 pixeles
Valor  70: 145 pixeles
Valor  71: 110 pixeles
Valor  72: 143 pixeles
Valor  73: 128 pixeles
Valor  74: 129 pixeles
Valor  75: 143 pixeles
Valor  76: 107 pixeles
Valor  77: 143 pixeles
